,Artist,Title,Mood
1284,Black Prairie,Red Rocking Chair,relaxed
1285,Tom Petty,It's Good To Be King,relaxed
1286,New Order,Your Silent Face,sad
1287,The Clash,I'm So Bored With The U.S.A.,sad
1288,Greg Laswell,Off I Go,sad
1289,Justice,Civilization,angry
1290,Sia,I Go To Sleep,relaxed
1291,The Big Pink,Love In Vain,happy
1292,Interpol,Safe Without,relaxed
1293,Morcheeba,Sao Paulo,angry
1294,Jeff Buckley,Grace,angry
1295,Cold War Kids,Hospital Beds,angry
1296,Air,Sexy Boy,happy
1297,Maps,It Will Find You,happy
1298,Air,Napalm Love,happy
1299,Eric Clapton,Bad Love,happy
1300,Elton John,Sorry Seems To Be The Hardest Word,sad
1301,The Meters,Chicken Strut,sad
1302,Wanda Jackson,Nervous Breakdown,angry
1303,M.I.A.,Fire Fire,angry
1304,Andreya Triana,X,sad
1305,Peggy Sue,Matilda,sad
1306,Z.Z. Hill,Down Home Blues,relaxed
1307,Ryan Adams & The Cardinals,Fix It,happy
1308,The Robert Cray Band,Smoking Gun,angry
1309,Huey,When I Hustle ,relaxed
1310,Parlours,I Dream Of Chicago,relaxed
1311,Three Dog Night,The Family Of Man,relaxed
1312,Vince Gill,Take Your Memory With You,sad
1313,Faith Hill,Take Me As I Am,relaxed
1314,Strike Anywhere,The Promise,sad
1315,Elefante,El Abandonao,sad
1316,Kenny Rogers,Love Lifted Me,happy
1317,L.A. Guns,Kiss My Love Goodbye,happy
1318,James Ingram,I Don't Have The Heart,happy
1319,Nelly,Party People ,happy
1320,The Dirty Dozen Brass Band,Ruler Of My Heart ,angry
1321,The Pretenders,Kid,sad
1322,The Drifters,Save The Last Dance For Me,relaxed
1323,Ray LaMontagne,Three More Days,relaxed
1324,Marvin Gaye,Come Live With Me Angel,relaxed
1325,Donnie McClurkin,Great And Mighty Is Our God,happy
1326,Maysa,Out Of The Blue,happy
1327,Lykke Li,Youth Knows No Pain,angry
1328,Darker My Love,Waves,sad
1329,Death By Stereo,Welcome To The Party,angry
1330,Marsha Ambrosius,Lose Myself,happy
1331,Dave Alvin,Black Sky,relaxed
1332,Mission Of Burma,Donna Sumeria,happy
1333,The Blues Brothers,Sweet Home Chicago,relaxed
1334,Ratatat,Seventeen Years,sad
1335,Six Feet Under,Seed Of Filth,sad
1336,Telekinesis,I Got You,relaxed
1337,Ceo,White Magic,relaxed
1338,Obits,Back And Forth,sad
1339,Surfer Blood,Take It Easy,relaxed
1340,Elliott Smith,Needle In The Hay,sad
1341,The Smiths,Ask,angry
1342,Discovery,So Insane,angry
1343,Mustafa Sandal,Kalmadi,sad
1344,Ratt,You're In Love,happy
1345,Charlie Gracie,Butterfly,relaxed
1346,Jose Jose,Tu Me Estas Volviendo Loco,sad
1347,Juan Luis Guerra,El Costo De La Vida,sad
1348,Ricky Martin,Con Tu Nombre,sad
1349,Marvin Gaye,Pride And Joy ,happy
1350,Queen Latifah,Simply Beautiful ,happy
1351,The Blind Boys Of Alabama,Down By The Riverside ,angry
1352,Gloria Lynne,I'm Glad There Is You,happy
1353,The Tymes,So Much In Love,happy
1354,Elvis Presley,Love Me Tender,happy
1355,Roy Orbison,Dream Baby ,relaxed
1356,The Allman Brothers Band,Revival,happy
1357,The Blackbyrds,Happy Music,happy
1358,Ray Charles,Crazy Love ,happy
1359,The Whispers,My Heart Your Heart,happy
1360,Blackstreet,Joy,happy
1361,U2,The Three Sunrises,happy
1362,Morrissey,"The More You Ignore Me, The Closer I Get",angry
1363,Fenix TX,All My Fault,sad
1364,Take 6,You Don't Have To Be Afraid,angry
1365,NLT,That Girl,relaxed
1366,J. Valentine,She Worth The Trouble,angry
1367,John Brown,Imma Love You Right,happy
1368,Los Super Reyes,El Rey ,sad
1369,Death Cab For Cutie,Someday You Will Be Loved,happy
1370,Daryle Singletary,Amen Kind Of Love,relaxed
1371,Lonestar,Tell Her,happy
1372,Lemon Jelly,Space Walk,happy
1373,Gregory Porter,Lonely One,sad
1374,Sinead O'Connor,War,angry
1375,Charles Bradley,I Believe In Your Love,happy
1376,The Grateful Dead,Fire On The Mountain,angry
1377,Dixie Chicks,There's Your Trouble,angry
1378,Loretta Lynn,Trouble On The Line,angry
1379,The Midnighters,Sexy Ways ,happy
1380,The Diamonds,The Stroll,relaxed
1381,Little Richard,Long Tall Sally,happy
1382,Mike Reno & Ann Wilson,Almost Paradise,relaxed
1383,Gregg Allman,I Believe I'll Go Back Home,relaxed
1384,Stevie Wonder,Creepin',relaxed
1385,Duffy,Rockferry,relaxed
1386,Justin Bieber,One Less Lonely Girl,sad
1387,Silversun Pickups,Growing Old Is Getting Old,angry
1388,Carney,Love Me Chase Me,relaxed
1389,Bobby Helms,My Special Angel,relaxed
1390,Clay Walker,I Can't Sleep,relaxed
1391,Mutemath,The Nerve,angry
1392,The Mars Volta,Asilos Magdalena,sad
1393,Solid Gold,Who You  Gonna Run To?,angry
1394,Karyn White,The Way You Love Me,happy
1395,Nina Simone,House Of The Rising Sun,relaxed
1396,The Breeders,New Year,relaxed
1397,Miss Kittin & The Hacker,Indulgence,happy
1398,The Concretes,You Can't Hurry Love,happy
1399,Dr. Dog,Ain't It Strange,relaxed
1400,Balkan Beat Box,War Again,angry
1401,Death Cab For Cutie,We Laugh Indoors,happy
1402,The Kills,U.R.A. Fever,sad
1403,Mickey Gilley,Lonely Nights,sad
1404,Toots & The Maytals,True Love Is Hard To Find ,happy
1405,Crowded House,Fall At Your Feet,sad
1406,Ten Years After,I'm Going Home,relaxed
1407,Donavon Frankenreiter,"Life, Love & Laughter",happy
1408,Mary Mary,Ordinary People,happy
1409,Nat King Cole,Brazilian Love Song ,relaxed
1410,Nnenna Freelon,If I Only Had A Brain ,angry
1411,Nnenna Freelon,If I Only Had A Brain ,angry
1412,Bebel Gilberto,Aganju,sad
1413,Priestess,Lady Killer,angry
1414,Morphine,Honey White,relaxed
1415,Aventura,La Nina,sad
1416,Sonic Youth,Incinerate,sad
1417,Ladytron,Seventeen,happy
1418,Bob Marley & The Wailers,No More Trouble,angry
1419,Black Uhuru,I Love King Selassie,happy
1420,Home Video,The Smoke,angry
1421,Steel Train,I Feel Weird,angry
1422,Louis Armstrong,Nobody Knows The Trouble I've Seen,angry
1423,Diana Krall,My Love Is,happy
1424,Linda Ronstadt,Little Girl Blue ,relaxed
1425,Bobby Womack,If You Think You're Lonely Now,sad
1426,Jermaine Jackson,Daddy's Home,relaxed
1427,K.C. & The Sunshine Band,Do You Wanna Go Party,happy
1428,Beyonce,I'd Rather Go Blind,relaxed
1429,Phil Perry,If Only You Knew,happy
1430,Buffalo Springfield,I Am A Child,relaxed
1431,Pink Floyd,Pigs On The Wing 1,sad
1432,The Association,Never My Love,happy
1433,Ray Charles,Lonely Avenue,sad
1434,Jakob Dylan,Gimme Some Truth ,relaxed
1435,Willie Nelson,Night Life,happy
1436,Gorillaz,Some Kind Of Nature ,relaxed
1437,The Pains Of Being Pure At Heart,Everything With You,sad
1438,We Were Promised Jetpacks,Ships With Holes Will Sink,sad
1439,The Duke Spirit,The Step And The Walk,happy
1440,Sharon Jones & The Dap-Kings,Mama Don't Like My Man,relaxed
1441,Wolf Parade,This Heart's On Fire,angry
1442,Ike & Tina Turner,I've Been Loving You Too Long,happy
1443,Air,Love,happy
1444,Kurt Elling,Say It ,happy
1445,Norah Jones,Shoot The Moon,sad
1446,Lou Rawls,You've Made Me So Very Happy,happy
1447,Mary J. Blige,A Dream,relaxed
1448,Nyasia,Who's Got Your Love,happy
1449,Destruction,Hate Is My Fuel,angry
1450,Dan Deacon,Okie Dokie,angry
1451,Innerpartysystem,American Trash,sad
1452,Thompson Square,Let's Fight,angry
1453,Bay City Rollers,Money Honey,relaxed
1454,Frankie Ruiz,Lo Dudo,sad
1455,Magneto,La Puerta Del Colegio,sad
1456,Santana,I Don't Wanna Lose Your Love ,relaxed
1457,Kiss,C'mon And Love Me,happy
1458,The Rolling Stones,Sway,angry
1459,Machine Head,Ten Ton Hammer,angry
1460,System Of A Down,War?,angry
1461,Bullet For My Valentine,Scream Aim Fire,angry
1462,Kansas,Fight Fire With Fire,angry
1463,The Beatles,Real Love,happy
1464,The Roots,The Fire ,angry
1465,The Used,Burning Down The House,angry
1466,Los Bukis,Contra Viento Y Marea,sad
1467,Anna Calvi,No More Words,happy
1468,Anna Calvi,Desire,angry
1469,Ricardo Arjona,La Mujer Que No Sone,sad
1470,Gang Of Four,Natural's Not In It,happy
1471,Stevie Wonder,Ordinary Pain,angry
1472,Jackie Wilson,To Be Loved,happy
1473,Death,Painkiller,angry
1474,Bayside,Already Gone,sad
1475,S. Carey,In The Dirt,sad
1476,Maps & Atlases,Living Decorations,sad
1477,Metallica,Free Speech For The Dumb,relaxed
1478,Tesla,Paradise,relaxed
1479,Aretha Franklin,See Saw,happy
1480,The Beatles,Your Mother Should Know,happy
1481,Alice Cooper,You Drive Me Nervous,angry
1482,Jill Scott,Hate On Me,angry
1483,Hooverphonic,2wicky,angry
1484,Kraak & Smaak,Keep Me Home ,relaxed
1485,The Cure,All Cats Are Grey,sad
1486,Crystal Castles,Vietnam,happy
1487,The Lemonheads,Dirty Robot,sad
1488,Pavement,Unfair,sad
1489,Basement Jaxx,Good Luck ,relaxed
1490,Machine Head,Clenching The Fists Of Dissent,angry
1491,Patti LaBelle,Over The Rainbow,relaxed
1492,Avenged Sevenfold,God Hates Us,angry
1493,Fear Factory,Fear Campaign,angry
1494,Dropkick Murphys,Peg O' My Heart,happy
1495,Stevie Wonder,Happy Birthday,happy
1496,Kem,Love Never Fails,happy
1497,Ray Charles,Sorry Seems To Be The Hardest Word ,sad
1498,Aaron Hall,All The Places ,happy
1499,Starfucker,Astoria,happy
1500,Anna Calvi,The Devil,angry
1501,Johnny Preston,Running Bear,relaxed
1502,The Five Keys,The Glory Of Love,happy
1503,Metric,Monster Hospital,angry
1504,The Used,Blue And Yellow,sad
1505,Lucinda Williams,Kiss Like Your Kiss,happy
1506,Waka Flocka Flame,Bang ,sad
1507,Randy Newman,It's Money That I Love,happy
1508,Korn,Blind,sad
1509,Mastodon,Colony Of Birchmen,sad
1510,Anita Baker,Lead Me Into Love,happy
1511,Jaill,The Stroller,angry
1512,Cut Copy,Hearts On Fire,angry
1513,Fleetwood Mac,Showbiz Blues,relaxed
1514,Massive Attack,Angel,happy
1515,The Cardigans,Carnival,happy
1516,Women,Locust Valley,sad
1517,The Flamingos,I'll Be Home,relaxed
1518,John Mayer,Perfectly Lonely,sad
1519,Paul McCartney,Another Day,sad
1520,Band Of Horses,Is There A Ghost,relaxed
1521,Robbie Robertson,Sweet Fire Of Love,angry
1522,Procol Harum,Conquistador,sad
1523,Exodus,Bonded By Blood,sad
1524,Lionel Richie,Deep River Woman,relaxed
1525,Iron Maiden,Be Quick Or Be Dead,angry
1526,Deadmau5,Outta My Life,sad
1527,Eliza Gilkyson,Looking For A Place,sad
1528,Calexico,Victor Jara's Hands,sad
1529,Warren Haynes,On A Real Lonely Night,sad
1530,Otis Redding,Let Me Come On Home,relaxed
1531,Sade,Love Is Found,happy
1532,Z-Trip,Walking Dead ,angry
1533,Cristian,Amor,sad
1534,Aterciopelados,Rompecabezas,sad
1535,Eric Clapton,Let It Grow,relaxed
1536,Avenged Sevenfold,Nightmare,angry
1537,Scorpions,Rock You Like A Hurricane,angry
1538,Papa Roach,Burn,angry
1539,Doors,Love Her Madly,happy
1540,Cult,Fire Woman,angry
1541,Machine Head,Aesthetics Of Hate,angry
1542,Dir En Grey,C,angry
1543,Red Hot Chili Peppers,Scar Tissue,sad
1544,Doors,Light My Fire,angry
1545,Smashing Pumpkins,Bullet With Butterfly Wings,angry
1546,Mudvayne,Scream With Me,angry
1547,Chevelle,Send The Pain Below,angry
1548,Motley Crue,Home Sweet Home,relaxed
1549,Rolling Stones,Gimme Shelter,angry
1550,Kiss,King Of The Night Time World,relaxed
1551,Grupo Bryndis,Asi Es El Amor,sad
1552,Los Angeles Negros,A Ti,sad
1553,R. Kelly,Touched A Dream,relaxed
1554,Women,Narrow With The Hall,sad
1555,Burial,Ghost Hardware,happy
1556,My Bloody Valentine,Soon,angry
1557,The Pains Of Being Pure At Heart,Even In Dreams,angry
1558,Elf Power,Let The Serpent Sleep,relaxed
1559,Andrew Bird,Simple X,angry
1560,The Beatles,For You Blue,relaxed
1561,Bobby Vinton,My Melody Of Love,happy
1562,Arc Angels,Shape I'm In,happy
1563,Bob Dylan,"Corrina, Corrina",relaxed
1564,Steel Panther,Death To All But Metal,sad
1565,Sheryl Crow,Killer Life,angry
1566,Big Head Todd & The Monsters,Please Don't Tell Her,happy
1567,Aaron Lewis,Massachusetts,relaxed
1568,Fleetwood Mac,Songbird,happy
1569,Boston,Party,happy
1570,The Beatles,Maxwell's Silver Hammer,sad
1571,The Who,Gettin' In Tune,relaxed
1572,Rene & Angela,I Love You More,happy
1573,Chaka Khan,Got To Be There,relaxed
1574,Shalamar,Somewhere There's A Love,happy
1575,Tiesto,Who Wants To Be Alone ,relaxed
1576,George Duke,Listen Baby,relaxed
1577,Musiq,Girl Next Door ,relaxed
1578,The Cure,The Perfect Girl,relaxed
1579,Martha & The Muffins,Echo Beach,relaxed
1580,Devo,Girl U Want,relaxed
1581,Ben Harper & The Innocent Criminals,Fight Outta You,angry
1582,Ginuwine,Trouble ,angry
1583,Tool,Part Of Me,sad
1584,Zapp & Roger,Slow And Easy,relaxed
1585,Patti LaBelle,When You Talk About Love,happy
1586,Mila J,No More Complaining,sad
1587,Musiq,Settle For My Love ,happy
1588,Brook Benton,Thank You Pretty Baby,happy
1589,Pink Floyd,Set The Controls For The Heart Of The Sun,happy
1590,Austrian Death Machine,It's Not A Tumor ,angry
1591,Walls Of Jericho,A Trigger Full Of Promises,angry
1592,Firehouse,Love Of A Lifetime,happy
1593,Jo Dee Messina,Burn,angry
1594,Chimaira,Power Trip,angry
1595,Radiohead,Go To Sleep,sad
1596,Can,Moonshake,relaxed
1597,Nouvelle Vague,Ever Fallen In Love?,happy
1598,Matt & Kim,Don't Slow Down,sad
1599,New Found Glory,It's Not Your Fault,sad
1600,LCD Soundsystem,Disco Infiltrator,sad
1601,Kisses,People Can Do The Most Amazing Things,angry
1602,Hot Chip,We Have Love,happy
1603,Starfucker,The White Of Noon,angry
1604,Wilson Pickett,I'm In Love,happy
1605,The Black Dahlia Murder,What A Horrible Night To Have A Curse,sad
1606,New York Dolls,Trash,sad
1607,Howlin' Wolf,Built For Comfort,relaxed
1608,Alela Diane,To Begin,sad
1609,Menomena,Lunchmeat,sad
1610,Malachai,Rainbows ,relaxed
1611,Frightened Rabbit,Fast Blood,angry
1612,Reba McEntire,I'm Not That Lonely Yet,sad
1613,Michael Bolton,To Love Somebody,happy
1614,Lupe Fiasco,Intruder Alert ,angry
1615,The Everly Brothers,Let It Be Me,happy
1616,Tiziano Ferro,Tardes Negras,sad
1617,Kyle Riabko,What Did I Get Myself Into,relaxed
1618,Donnie McClurkin,I Love To Praise Him,happy
1619,The Foreign Exchange,If This Is Love ,happy
1620,Israel Houghton,Our God,happy
1621,Kid Rock,Feel Like Makin' Love,happy
1622,Connie Smith,Just For What I Am,happy
1623,Of Montreal,Doing Nothing,sad
1624,Gold Motel,The Cruel One,sad
1625,Rotten Sound,Scared,angry
1626,Wolf Parade,I'll Believe In Anything,angry
1627,The Rapture,House Of Jealous Lovers,relaxed
1628,Best Coast,Happy,happy
1629,OFF!,Poison City,angry
1630,Cradle Of Filth,Nymphetamine,sad
1631,Mount Moriah,Lament,angry
1632,Low,Just Stand Back,sad
1633,Bright Eyes,Devil Town,angry
1634,Daft Punk,Something About Us,happy
1635,LCD Soundsystem,Too Much Love,happy
1636,Fenech-Soler,Contender,angry
1637,Luis Fonsi,Abrazar La Vida,sad
1638,Faith Hill,Joy To The World,happy
1639,Faith Hill,Where Are You Christmas?,happy
1640,John Lennon,Love,happy
1641,D'Angelo,Cruisin',happy
1642,John Lennon,Happy Xmas ,happy
1643,Eric Lindell,Lullaby For Mercy Ann,happy
1644,Anti-Flag,Turncoat,angry
1645,Dottie Peoples,Happy In Jesus,happy
1646,CeCe Winans,Away In A Manger,relaxed
1647,Brian McKnight,Because Of His Love,happy
1648,Israel & New Breed,Have Yourself A Merry Little Christmas,happy
1649,Daryl Hall & John Oates,Home For Christmas,relaxed
1650,"Harry Connick, Jr.",Blue Christmas,relaxed
1651,Kenny G,Joy To The World,happy
1652,Peter White,Silent Night,relaxed
1653,Vanessa Williams,Joy To The World ,happy
1654,Frank Sinatra,Have Yourself A Merry Little Christmas,happy
1655,Mariah Carey,Joy To The World,happy
1656,Mariah Carey,Silent Night,relaxed
1657,Rascal Flatts,I'll Be Home For Christmas,relaxed
1658,Kenny Rogers & Dolly Parton,With Bells On,relaxed
1659,Alan Jackson,Let It Be Christmas,happy
1660,Kenny Chesney,Pretty Paper,relaxed
1661,Jo Dee Messina,Silent Night,relaxed
1662,The Carpenters,Have Yourself A Merry Little Christmas,happy
1663,Casting Crowns,Silent Night,relaxed
1664,Jim Brickman,Sending You A Little Christmas,relaxed
1665,Lanae' Hale,Carol Of The Bells,happy
1666,James Taylor,Have Yourself A Merry Little Christmas,happy
1667,Bing Crosby,I Wish You A Merry Christmas,happy
1668,Andy Williams,Silent Night,relaxed
1669,Josh Groban,Silent Night,relaxed
1670,"Peter, Paul & Mary",We Wish You A Merry Christmas ,happy
1671,Coldplay,Have Yourself A Merry Little Christmas,happy
1672,Amy Grant,Silent Night,relaxed
1673,Vince Gill,Let There Be Peace On Earth,relaxed
1674,Stevie Wonder,One Little Christmas Tree,relaxed
1675,Six Feet Under,Shadow Of The Reaper,sad
1676,David Crowder Band,Feliz Navidad,happy
1677,Sanctus Real,Silent Night,relaxed
1678,Out Of Eden,O Little Town Of Bethlehem,relaxed
1679,Sara Groves,Child Of Love,happy
1680,Stacie Orrico,Love Came Down,happy
1681,Michael McDonald,I'll Be Home For Christmas,relaxed
1682,The Jackson 5,Give Love On Christmas Day,happy
1683,The Jackson 5,Have Yourself A Merry Little Christmas,happy
1684,Frank Sinatra,Silent Night,relaxed
1685,Bing Crosby,Happy Holidays ,happy
1686,Sammy Kershaw,Christmas Time's A Comin',happy
1687,Lonestar,All My Love For Christmas,happy
1688,Obituary,Slowly We Rot,angry
1689,Black Eyed Peas,Power To The People,happy
1690,Regina Spektor,Real Love,happy
1691,Jane Monheit,Have Yourself A Merry Little Christmas,happy
1692,Los Lonely Boys,Feliz Navidad,happy
1693,Underworld,Beautiful Burnout,relaxed
1694,Crystal Castles,Alice Practice,sad
1695,The Chemical Brothers,Another World,happy
1696,Randy Travis,White Christmas Makes Me Blue,relaxed
1697,Lady Antebellum,Blue Christmas,relaxed
1698,Rose,Sombre Con,sad
1699,Talking Heads,Blind,sad
1700,Queen,Thank God It's Christmas,happy
1701,Beck,Nobody's Fault But My Own,sad
1702,King Crimson,Matte Kudasai,sad
1703,Chris Tomlin,Joy To The World ,happy
1704,Dave Barnes,Family Tree,relaxed
1705,MERCY ME,Joseph's Lullaby,relaxed
1706,Brooklyn Tabernacle Choir,Happy Birthday Jesus,happy
1707,Matt Maher,Empty & Beautiful,angry
1708,The Temptations,Give Love On Christmas Day,happy
1709,Ledisi,Silent Night,relaxed
1710,Ledisi,Have Yourself A Merry Little Christmas,happy
1711,The O'Jays,Christmas Ain't Christmas ,happy
1712,Ledisi,What A Wonderful World,relaxed
1713,The Damned Things,Handbook For The Recently Deceased,angry
1714,Jaci Velasquez,Feliz Navidad,happy
1715,Luis Miguel,Ayer,sad
1716,Yolanda Adams,Give Love On Christmas Day,happy
1717,Slaughter,Mad About You,angry
1718,The Ramones,Merry Christmas ,happy
1719,B.B. King,Merry Christmas Baby,happy
1720,"Harry Connick, Jr.",This Christmas,happy
1721,Gloria Estefan,This Christmas,happy
1722,Diana Krall,Have Yourself A Merry Little Christmas,happy
1723,Curtis Lee,Pretty Little Angel Eyes,happy
1724,Mountain,Theme From An Imaginary Western,sad
1725,Bing Crosby,Silent Night,relaxed
1726,Th' Legendary Shack Shakers,Swampblood,sad
1727,Aretha Franklin,I'm In Love,happy
1728,Karrin Allyson,Everything Must Change,relaxed
1729,JJ Grey & Mofro,On Fire,angry
1730,Elvis Costello,One Bell Ringing,sad
1731,Mudcrutch,Crystal River,relaxed
1732,Louis Armstrong,What A Wonderful World,relaxed
1733,The Rolling Stones,Going Home,relaxed
1734,Elvis Presley,Blue Christmas ,relaxed
1735,Brooks & Dunn,Blue Christmas,relaxed
1736,Randy Travis,Pretty Paper,relaxed
1737,Slayer,Warzone,angry
1738,Meat Loaf,Hot Patootie-Bless My Soul,relaxed
1739,The Prodigy,Girls,happy
1740,Susan Boyle,Silent Night,relaxed
1741,Vince Gill,Blue Christmas,relaxed
1742,Ricky Van Shelton,Blue Christmas,relaxed
1743,Clay Walker,Blue Christmas,relaxed
1744,Mick Hucknall,Ain't That Lovin' You,happy
1745,Luther Vandross,Got You Home,relaxed
1746,Marques Houston,Favorite Girl,relaxed
1747,Boney James,Love Song ,happy
1748,Blonde Redhead,Love Or Prison,happy
1749,Goldfrapp,Little Bird,relaxed
1750,Smashing Pumpkins,Soma,angry
1751,Moby,Nearer,relaxed
1752,Cheap Trick,Auf Wiedersehen,angry
1753,Blonde Redhead,Here Sometimes,relaxed
1754,Zero 7,Ghost Symbol,relaxed
1755,Nirvana,Frances Farmer Will Have Her Revenge On Seattle,sad
1756,Nouvelle Vague,Making Plans For Nigel,happy
1757,The Cure,Prayers For Rain,sad
1758,Band Of Horses,The Funeral,sad
1759,Barcelona,Colors,angry
1760,Joan Sebastian,Oyeme Chatita,sad
1761,Vicente Fernandez,Si Te Vas No Hay Lio,sad
1762,The Mamas & The Papas,Words Of Love,happy
1763,Armored Saint,Reign Of Fire,angry
1764,Billie Holiday,Am I Blue?,sad
1765,Solomon Burke,None Of Us Are Free,relaxed
1766,The Little Willies,Night Life,happy
1767,Madeleine Peyroux,Careless Love,happy
1768,Ella Fitzgerald,Solitude ,sad
1769,Heart,How Can I Refuse,angry
1770,Cat Stevens,Sad Lisa,sad
1771,Rush,Cold Fire,angry
1772,The Mighty Mighty Bosstones,So Sad To Say,sad
1773,Wire,Feeling Called Love,happy
1774,Lykke Li,My Love,happy
1775,The Beatles,Her Majesty,relaxed
1776,Jose Feliciano,La Copa Rota,sad
1777,The Beach Boys,Surfer Girl,relaxed
1778,Billie Holiday,I Hear Music,relaxed
1779,Aretha Franklin,Baby I Love You,happy
1780,Kool & The Gang,Victory,happy
1781,Willie Nelson & Wynton Marsalis,Night Life,happy
1782,J Dilla,Two Can Win,happy
1783,George Harrison,You,happy
1784,Kem,When I'm Loving You,relaxed
1785,Natalie Merchant,"Crying, My Little One",relaxed
1786,All-4-One,So Much In Love,happy
1787,Lacy J. Dalton,Takin' It Easy,relaxed
1788,Beach House,Gila,sad
1789,Jenny And Johnny,While Men Are Dreaming,relaxed
1790,Royksopp,It's What I Want,relaxed
1791,OK Go,All Is Not Lost,angry
1792,Rogue Wave,Endless Shovel,sad
1793,Daft Punk,Steam Machine,sad
1794,Clap Your Hands Say Yeah,Is This Love?,happy
1795,The Clash,Hate And War,angry
1796,Bauhaus,The Passion Of Lovers,angry
1797,Huey Lewis And The News,Respect Yourself,relaxed
1798,Ted Leo & The Pharmacists,Army Bound,sad
1799,Cat Power,He War,angry
1800,Jack Jones,Love Boat Theme,happy
1801,The Kinks,Set Me Free,relaxed
1802,Antony & The Johnsons,Shake That Devil,relaxed
1803,Foxy Shazam,Unstoppable,sad
1804,The Pixies,La La Love You,happy
1805,The Breeders,Do You Love Me Now?,happy
1806,Mark Ronson,Just ,sad
1807,Chris Knight,A Pretty Good Guy,happy
1808,Daft Punk,Revolution 909,relaxed
1809,Broadcast,Tender Buttons,sad
1810,Ted Leo & The Pharmacists,The Ballad Of The Sin Father,angry
1811,Axwell,Nothing But Love ,happy
1812,Twisted Sister,Burn In Hell,angry
1813,Exodus,The Toxic Waltz,angry
1814,The Red Hot Chili Peppers,Fire,angry
1815,Dum Dum Girls,I Will Be,relaxed
1816,Bowerbirds,House Of Diamonds,relaxed
1817,Bullet For My Valentine,Alone,sad
1818,TKA,Louder Than Love,happy
1819,Tom Jones,Without Love ,happy
1820,Frankie Ruiz,La Rueda,sad
1821,Musiq,Girl Next Door ,relaxed
1822,Devo,Race Of Doom,angry
1823,The Red Hot Chili Peppers,Fight Like A Brave,angry
1824,Living Colour,Glamour Boys,relaxed
1825,Norah Jones,The Long Way Home,relaxed
1826,The J. Geils Band,Looking For A Love,happy
1827,Blood Brothers,Set Fire To The Face On Fire,angry
1828,Times Of Grace,Fight For Life,angry
1829,Pantera,Floods,angry
1830,Chet Baker,Let's Get Lost,angry
1831,Sarah Vaughan,Little Girl Blue,relaxed
1832,Coco Montoya,Love Gotcha,happy
1833,Sepultura,Territory,angry
1834,Feist,The Limit To Your Love,happy
1835,Kem,Into You,relaxed
1836,Axe Bahia,Beso En La Boca,sad
1837,The Vaselines,Molly's Lips,happy
1838,Dinah Washington,Blue Skies,relaxed
1839,Jill Scott,Bedda At Home,relaxed
1840,Mitty Collier,Sharing You,happy
1841,Evile,Armoured Assault,angry
1842,The Brian Jonestown Massacre,Sailor,sad
1843,Caribou,Sun,relaxed
1844,Dean Martin,Send Me The Pillow You Dream On,relaxed
1845,Abysmal Dawn,The Descent,sad
1846,The Five Keys,Close Your Eyes,happy
1847,Ella Fitzgerald,Rocks In My Bed,relaxed
1848,The Cure,The End of The World,happy
1849,The Ramones,Surfin' Bird,relaxed
1850,Bloc Party,Banquet,angry
1851,The Kooks,If Only,angry
1852,The White Tie Affair,Candle ,sad
1853,Keane,This Is The Last Time,sad
1854,Smashing Pumpkins,I Am One,angry
1855,Bif Naked,Lucky,happy
1856,Visions Of Atlantis,Twist Of Fate,angry
1857,Wilco,War On War,angry
1858,Jenny Lewis,Pretty Bird,relaxed
1859,Visions Of Atlantis,Conquest Of Others,angry
1860,Steel Train,Firecracker,sad
1861,Cavalera Conspiracy,Blunt Force Trauma,angry
1862,Mastodon,Iron Tusk,angry
1863,Luis Enrique,San Juan Sin Ti,sad
1864,Alejandra Guzman,Hacer El Amor Con Otro,sad
1865,Neil Diamond,Kentucky Woman,relaxed
1866,Tinariwen,Matadjem Yinmixan,angry
1867,Charles Bradley,Heart Of Gold ,happy
1868,Joan Armatrading,Love And Affection,happy
1869,Blood Brothers,Love Rhymes With Hideous Car Wreck,happy
1870,Miike Snow,Burial,angry
1871,Alice Russell,Hurry On Now,sad
1872,Dixie Chicks,I Can Love You Better,happy
1873,Darryl Worley,Family Tree,relaxed
1874,Chris Ledoux,Hooked On An 8 Second Ride,angry
1875,The Brian Jonestown Massacre,Wisdom,happy
1876,Brooks & Dunn,We'll Burn That Bridge,angry
1877,The Ting Tings,That's Not My Name,sad
1878,John Gold,Baby It's Your Life,happy
1879,Richie Havens,Here Comes The Sun,relaxed
1880,Sophie Milman,I'm On Fire,angry
1881,Metallica,Seek &#x26; Destroy,angry
1882,Radiohead,Nude,sad
1883,Crocodiles,All My Hate And My Hexes Are For You,angry
1884,Austra,Spellwork,angry
1885,The Suburbs,Love Is The Law,happy
1886,The Kinks,Everybody's Gonna Be Happy,happy
1887,VHS Or Beta,Love In My Pocket,happy
1888,The Flaming Lips,Sagittarius Silver Announcement,relaxed
1889,Lee Andrews & The Hearts,Long Lonely Nights,sad
1890,Kraftwerk,Neon Lights,sad
1891,The Grateful Dead,Till The Morning Comes,relaxed
1892,Caribou,Sun,relaxed
1893,Timi Yuro,Hurt,angry
1894,Eric Benet,Hurricane,angry
1895,David Rock Feinstein,Metal Will Never Die ,sad
1896,Byron Cage,Glory To Your Name,happy
1897,Martha & The Vandellas,I'm Ready For Love,happy
1898,No Age,Things I Did When I Was Dead,angry
